time,mma_peak_area,bmdo_peak_area,A1,A2,M1,M2,f1,f2,c1,c2,
3.366666667,5.126743606,0.649627429,5.126743606,0.649627429,1.015598529,1.000386329,0.503772895,0.496227105,0.79881179,-0.540533486,
3.466666667,5.050695299,0.648125007,5.050695299,0.648125007,1.000533498,0.998072692,0.500615631,0.499384369,0.801796145,-0.536970627,
3.533333333,5.061395903,0.648730175,5.061395903,0.648730175,1.002653268,0.999004614,0.500911408,0.499088592,0.801376222,-0.538405731,
3.633333333,5.033020023,0.651431413,5.033020023,0.651431413,0.997032058,1.003164355,0.498467076,0.501532924,0.802489773,-0.544811476,
3.716666667,5.0841147,0.648705123,5.0841147,0.648705123,1.00715382,0.998966035,0.502040702,0.497959298,0.800484671,-0.53834632,
3.8,4.950027527,0.651987717,4.950027527,0.651987717,0.980591397,1.004021028,0.494097177,0.505902823,0.805746638,-0.546130699,
3.866666667,5.097924133,0.649297608,5.097924133,0.649297608,1.009889444,0.999878426,0.50249059,0.49750941,0.799942749,-0.539751347,
3.966666667,5.091757412,0.651432443,5.091757412,0.651432443,1.008667828,1.003165941,0.501367381,0.498632619,0.800184749,-0.544813918,
4.033333333,5.043645478,0.649647621,5.043645478,0.649647621,0.999136941,1.000417424,0.499679808,0.500320192,0.8020728,-0.540581371,
4.133333333,5.0590587,0.651909812,5.0590587,0.651909812,1.002190273,1.003901059,0.499573602,0.500426398,0.801467941,-0.545945954,
4.216666667,5.033248545,0.649042305,5.033248545,0.649042305,0.997077328,0.999485275,0.499396977,0.500603023,0.802480806,-0.539145919,
4.283333333,5.043524904,0.648304849,5.043524904,0.648304849,0.999113056,0.998349638,0.500191097,0.499808903,0.802077532,-0.537397107,
4.383333333,5.047738498,0.652757655,5.047738498,0.652757655,0.999947761,1.005206686,0.498688649,0.501311351,0.801912178,-0.547956539,
4.45,5.012640829,0.651305418,5.012640829,0.651305418,0.992994977,1.002970329,0.497501121,0.502498879,0.803289512,-0.544512688,
4.55,5.020631799,0.650043565,5.020631799,0.650043565,0.994577974,1.001027154,0.498384154,0.501615846,0.802975923,-0.541520318,
4.616666667,5.031894361,0.651450979,5.031894361,0.651450979,0.996809067,1.003194485,0.498403648,0.501596352,0.802533948,-0.544857874,
4.716666667,5.066515923,0.648219284,5.066515923,0.648219284,1.003667535,0.998217873,0.501361132,0.498638868,0.801175298,-0.537194197,
4.783333333,5.022047666,0.647772216,5.022047666,0.647772216,0.994858454,0.997529416,0.499329709,0.500670291,0.80292036,-0.536134015,
4.883333333,5.014463559,0.650311898,5.014463559,0.650311898,0.993356057,1.00144037,0.49797365,0.50202635,0.803217983,-0.542156645,
4.95,5.083438607,0.649301427,5.083438607,0.649301427,1.007019888,0.999884307,0.501777758,0.498222242,0.800511203,-0.539760404,
5.05,5.029889637,0.655911834,5.029889637,0.655911834,0.996411935,1.010063927,0.496598017,0.503401983,0.802612619,-0.555436393,
5.133333333,5.012670675,0.650825043,5.012670675,0.650825043,0.99300089,1.002230581,0.497687062,0.502312938,0.803288341,-0.543373521,
5.2,4.992998058,0.646181216,4.992998058,0.646181216,0.98910378,0.995079374,0.498494193,0.501505807,0.804060351,-0.532361101,
5.3,5.026408227,0.65262669,5.026408227,0.65262669,0.995722274,1.005005007,0.49768016,0.50231984,0.802749239,-0.547645967,
5.383333333,5.099860521,0.654026631,5.099860521,0.654026631,1.010273039,1.007160831,0.500771328,0.499228672,0.799866759,-0.550965803,
5.466666667,5.037134357,0.651232826,5.037134357,0.651232826,0.9978471,1.002858542,0.498747581,0.501252419,0.802328315,-0.544340542,
5.55,5.03689444,0.652693051,5.03689444,0.652693051,0.997799573,1.005107199,0.498175745,0.501824255,0.80233773,-0.547803336,
5.633333333,5.049138804,0.652125859,5.049138804,0.652125859,1.000225159,1.004233759,0.499000079,0.500999921,0.801857226,-0.546458292,
5.716666667,5.043137484,0.652761732,5.043137484,0.652761732,0.999036309,1.005212964,0.49845911,0.50154089,0.802092735,-0.547966207,
5.8,5.017721391,0.65541953,5.017721391,0.65541953,0.994001427,1.009305809,0.496180221,0.503819779,0.803090136,-0.554268938,
5.883333333,5.00422079,0.654375493,5.00422079,0.654375493,0.991326983,1.007698057,0.495905235,0.504094765,0.803619938,-0.551793098,
5.966666667,5.020359003,0.654897256,5.020359003,0.654897256,0.994523934,1.008501539,0.496510877,0.503489123,0.802986628,-0.553030411,
6.05,5.028136666,0.649450831,5.028136666,0.649450831,0.996064674,1.000114379,0.498985636,0.501014364,0.80268141,-0.5401147,
6.133333333,5.099542193,0.65310807,5.099542193,0.65310807,1.010209979,1.005746303,0.501107086,0.498892914,0.799879252,-0.548787518,
6.216666667,5.05691939,0.652831732,5.05691939,0.652831732,1.001766479,1.00532076,0.499114567,0.500885433,0.801551893,-0.548132207,
6.3,5.053449104,0.651784386,5.053449104,0.651784386,1.001079022,1.003707911,0.499344347,0.500655653,0.801688077,-0.545648519,
6.383333333,4.986847639,0.653839671,4.986847639,0.653839671,0.987885394,1.006872923,0.495240644,0.504759356,0.804301711,-0.550522443,
6.466666667,5.106913079,0.652483987,5.106913079,0.652483987,1.011670138,1.004785254,0.501707175,0.498292825,0.799589997,-0.54730756,
6.55,5.031685085,0.655018733,5.031685085,0.655018733,0.99676761,1.008688606,0.497027859,0.502972141,0.80254216,-0.553318483,
6.633333333,5.024481633,0.65793677,5.024481633,0.65793677,0.995340619,1.013182205,0.49555853,0.50444147,0.802824844,-0.560238349,
6.716666667,5.055096255,0.654982648,5.055096255,0.654982648,1.001405319,1.008633038,0.498202094,0.501797906,0.801623438,-0.553232911,
6.8,5.038506292,0.656338661,5.038506292,0.656338661,0.998118878,1.010721214,0.49686328,0.50313672,0.802274476,-0.556448575,
