time,mma_peak_area,bmdo_peak_area,A1,A2,M1,M2,f1,f2,c1,c2,0.35
0.033333333,2.914997752,0.653721641,2.914997752,0.653721641,0.984052017,0.970892513,0.503365697,0.496634303,0.667801332,-0.441947478,0.352355988
0.116666667,2.900712272,0.661215003,2.900712272,0.661215003,0.979229489,0.982021484,0.499288211,0.500711789,0.669429332,-0.458475972,0.349501748
0.2,2.97334268,0.659050998,2.97334268,0.659050998,1.003748239,0.978807552,0.506290034,0.493709966,0.661152233,-0.453702714,0.354403024
0.283333333,2.958574464,0.662355417,2.958574464,0.662355417,0.998762749,0.983715201,0.503795136,0.496204864,0.662835247,-0.460991443,0.352656595
0.366666667,2.948329697,0.669036834,2.948329697,0.669036834,0.995304296,0.99363829,0.500418817,0.499581183,0.66400276,-0.475728988,0.350293172
0.45,2.967653002,0.665377673,2.967653002,0.665377673,1.001827504,0.988203787,0.503422991,0.496577009,0.66180064,-0.467657789,0.352396093
0.533333333,2.933463823,0.664946586,2.933463823,0.664946586,0.990285838,0.987563545,0.500688195,0.499311805,0.665696903,-0.466706916,0.350481737
0.616666667,2.982921281,0.668095475,2.982921281,0.668095475,1.006981806,0.992240204,0.503686835,0.496313165,0.660060638,-0.473652584,0.352580784
0.7,2.975326417,0.666529376,2.975326417,0.666529376,1.004417914,0.989914269,0.503636216,0.496363784,0.660926163,-0.470198158,0.352545351
0.783333333,2.979649951,0.672088284,2.979649951,0.672088284,1.005877463,0.998170232,0.501922916,0.498077084,0.660433445,-0.482459727,0.351346041
0.866666667,2.997140485,0.671179733,2.997140485,0.671179733,1.01178196,0.996820874,0.503724252,0.496275748,0.65844019,-0.480455691,0.352606976
0.95,2.934612864,0.671324401,2.934612864,0.671324401,0.990673734,0.997035731,0.498399666,0.501600334,0.665565956,-0.480774791,0.348879766
1.033333333,2.948420456,0.67270109,2.948420456,0.67270109,0.995334934,0.999080359,0.499061022,0.500938978,0.663992417,-0.483811426,0.349342715
1.116666667,3.006953558,0.673705275,3.006953558,0.673705275,1.015094681,1.000571752,0.503602513,0.496397487,0.657321874,-0.486026408,0.352521759
1.2,2.954370494,0.673782386,2.954370494,0.673782386,0.997343562,1.000686275,0.499163498,0.500836502,0.663314339,-0.486196496,0.349414448
1.283333333,2.961375412,0.674638131,2.961375412,0.674638131,0.9997083,1.001957207,0.499438241,0.500561759,0.662516046,-0.488084055,0.349606769
1.366666667,2.938120087,0.674317116,2.938120087,0.674317116,0.99185771,1.001480443,0.497586277,0.502413723,0.665166267,-0.487375976,0.348310394
1.45,2.931795296,0.674976702,2.931795296,0.674976702,0.989722572,1.002460045,0.496803136,0.503196864,0.665887052,-0.488830859,0.347762195
1.533333333,2.975293643,0.673928923,2.975293643,0.673928923,1.00440685,1.000903909,0.500873416,0.499126584,0.660929898,-0.48651972,0.350611391
1.616666667,2.964885713,0.676970161,2.964885713,0.676970161,1.000893316,1.005420686,0.498871719,0.501128281,0.662116005,-0.493227935,0.349210204
1.7,2.959969878,0.672805532,2.959969878,0.672805532,0.999233816,0.999235474,0.499999585,0.500000415,0.662676223,-0.484041798,0.34999971
1.783333333,2.944277526,0.670744291,2.944277526,0.670744291,0.993936354,0.996174165,0.499437767,0.500562233,0.664464553,-0.479495213,0.349606437
1.866666667,2.968203917,0.679051394,2.968203917,0.679051394,1.002013483,1.008511686,0.498383954,0.501616046,0.661737856,-0.497818618,0.348868768
1.95,2.917747886,0.67256809,2.917747886,0.67256809,0.984980413,0.99888283,0.496496125,0.503503875,0.667487921,-0.48351806,0.347547288
