Wavenumbercm-1,03:00:14
4000,0.0485236223253651
3996,0.048562188109341
3992,0.0483246558557503
3988,0.0480660059216809
3984,0.0480451639023714
3980,0.0481694938178455
3976,0.0481597149188002
3972,0.048006619602417
3968,0.0479820699270666
3964,0.048249323328203
3960,0.0487065937384093
3956,0.0491708321612685
3952,0.0494714183371594
3948,0.0494538981309116
3944,0.0491574193849769
3940,0.0489205607970177
3936,0.0491146606544463
3932,0.0497530333149789
3928,0.0504579901035705
3924,0.0507758723031647
3920,0.0505159014033043
3916,0.0499957133823069
3912,0.049885010076138
3908,0.0506352501843142
3904,0.0519729986692663
3900,0.0529644571290619
3896,0.0531032805675566
3892,0.0527881570454186
3888,0.0523814268927702
3884,0.0518362991368733
3880,0.0512574973136655
3876,0.0510517443984337
3872,0.0513259270383727
3868,0.0517026006784581
3864,0.0519712043820025
3860,0.0522713968877486
3856,0.0523457349777179
3852,0.0516036458872634
3848,0.0504482527883623
3844,0.0500644290479648
3840,0.0506317980160102
3836,0.0510469605268556
3832,0.0506338428460147
3828,0.0502770734029795
3824,0.0506032068064781
3820,0.0506538776461564
3816,0.0494362808656966
3812,0.0479726626167171
3808,0.0476442767294795
3804,0.0480812295809481
3800,0.0478732727391138
3796,0.0469016426166646
3792,0.0463243828499954
3788,0.0463214560553091
3784,0.0460810084972253
3780,0.0453783766682048
3776,0.0450081236626651
3772,0.0454084241371847
3768,0.0460354602676662
3764,0.0464981636300354
3760,0.0473144451084559
3756,0.0489085746646196
3752,0.0506536970655082
3748,0.0514975715616366
3744,0.051460854280171
3740,0.0511745516479952
3736,0.0505258859723116
3732,0.049204391375091
3728,0.0476900371350412
3724,0.0467236019957366
3720,0.0465032961427327
3716,0.0467910149598076
3712,0.0471503063894778
3708,0.047054555256671
3704,0.0464299353234364
3700,0.0459650945818313
3696,0.046332976569168
3692,0.0472887155177669
3688,0.0478863167584549
3684,0.0479499011356906
3680,0.0483822262796108
3676,0.0494108750016012
3672,0.049608842971888
3668,0.04796636372128
3664,0.0460949298676398
3660,0.0460462024108647
3656,0.0481462028709081
3652,0.0503958667600195
3648,0.0499409103354165
3644,0.0471238331710874
3640,0.0449578965170188
3636,0.0451749921629845
3632,0.0471235942143148
3628,0.0489273297482958
3624,0.0496706514996932
3620,0.0501387260524017
3616,0.0509022536723432
3612,0.0513288700416776
3608,0.0510299587138865
3604,0.0509279787665408
3600,0.0518794358330025
3596,0.0533468874645519
3592,0.0541655006939233
3588,0.0540747157504015
3584,0.0539155324372144
3580,0.0544675441756396
3576,0.0560287307829737
3572,0.058483497580627
3568,0.060973199340575
3564,0.0621858458289275
3560,0.0619579845641203
3556,0.0616743415591039
3552,0.0622905187696002
3548,0.0631265762630962
3544,0.0632112919401455
3540,0.0630138866686475
3536,0.063567883595833
3532,0.0646759469883816
3528,0.0652986628498035
3524,0.0651953982426078
3520,0.0650821515794209
3516,0.0653199920910783
3512,0.0657106628043178
3508,0.0661605519549339
3504,0.0666507710027006
3500,0.066870533335743
3496,0.0667690533301411
3492,0.066970949222094
3488,0.0678106282230667
3484,0.0685225711184291
3480,0.0682622850406575
3476,0.0674899443913827
3472,0.0672746836721183
3468,0.0677070600369679
3464,0.068114451707122
3460,0.0683183167919779
3456,0.0687092640266004
3452,0.0693988613987201
3448,0.0702128569589214
3444,0.0711895112706638
