time,mma_peak_area,bmdo_peak_area,A1,A2,M1,M2,f1,f2,c1,c2,0.2
0.033333333,1.656031373,0.651596256,1.656031373,0.651596256,1.031567701,0.94669733,0.521450708,0.478549292,0.357420434,-0.375446571,0.208580283
0.116666667,1.636959511,0.669025478,1.636959511,0.669025478,1.019687541,0.972020064,0.511966485,0.488033515,0.36482077,-0.412237704,0.204786594
0.2,1.574566164,0.674267145,1.574566164,0.674267145,0.980821754,0.979635626,0.500302513,0.499697487,0.389030873,-0.423302274,0.200121005
0.283333333,1.587255162,0.685218559,1.587255162,0.685218559,0.988725929,0.995546821,0.498281261,0.501718739,0.38410724,-0.446419481,0.199312505
0.366666667,1.573790895,0.690079397,1.573790895,0.690079397,0.980338828,1.00260908,0.494384559,0.505615441,0.389331696,-0.456680163,0.197753824
0.45,1.571155696,0.687391396,1.571155696,0.687391396,0.978697321,0.998703713,0.494941241,0.505058759,0.390354216,-0.451006096,0.197976496
0.533333333,1.594715865,0.688099822,1.594715865,0.688099822,0.993373317,0.999732977,0.498404586,0.501595414,0.38121231,-0.452501502,0.199361834
0.616666667,1.674558688,0.68830215,1.674558688,0.68830215,1.043108653,1.000026938,0.510543039,0.489456961,0.350231395,-0.452928595,0.204217216
0.7,1.602521139,0.6896985,1.602521139,0.6896985,0.998235343,1.00205568,0.499045055,0.500954945,0.378183678,-0.455876133,0.199618022
0.783333333,1.646850124,0.691779122,1.646850124,0.691779122,1.025848558,1.005078593,0.50511342,0.49488658,0.360982977,-0.460268091,0.202045368
0.866666667,1.596291383,0.690562918,1.596291383,0.690562918,0.994354732,1.003311583,0.497758171,0.502241829,0.380600971,-0.457700822,0.199103269
0.95,1.592314142,0.690158675,1.592314142,0.690158675,0.991877246,1.002724262,0.497280907,0.502719093,0.382144235,-0.456847509,0.198912363
1.05,1.532067837,0.689443348,1.532067837,0.689443348,0.954348886,1.001684972,0.487899983,0.512100017,0.405521235,-0.455337536,0.195159993
1.133333333,1.565070591,0.689387715,1.565070591,0.689387715,0.974906815,1.001604143,0.493246349,0.506753651,0.392715381,-0.4552201,0.19729854
1.2,1.575606279,0.689429159,1.575606279,0.689429159,0.981469659,1.001664357,0.494908388,0.505091612,0.388627283,-0.455307584,0.197963355
1.283333333,1.598378943,0.691958363,1.598378943,0.691958363,0.995655105,1.005339011,0.497580226,0.502419774,0.379790948,-0.46064645,0.199032091
1.383333333,1.577407399,0.692788827,1.577407399,0.692788827,0.982591604,1.006545583,0.493978802,0.506021198,0.387928406,-0.462399465,0.197591521
1.45,1.582024213,0.687403489,1.582024213,0.687403489,0.98546749,0.998721283,0.496660148,0.503339852,0.386136972,-0.451031623,0.198664059
1.55,1.650406905,0.685673957,1.650406905,0.685673957,1.028064132,0.996208463,0.507868424,0.492131576,0.359602861,-0.447380773,0.20314737
1.666666667,1.621644004,0.683326367,1.621644004,0.683326367,1.010147273,0.992797675,0.504331022,0.495668978,0.370763551,-0.442425275,0.201732409
1.75,1.562288182,0.690072318,1.562288182,0.690072318,0.973173609,1.002598796,0.492553498,0.507446502,0.393795022,-0.456665221,0.197021399
